Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5733$nba.g.2374075,Damion,Lee,nba.p.5733$nba.g.2374075 - Damion Lee,SG,GS,MEM,MEM@GS,10:00PM EDT,10,18.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5739$nba.g.2374075,Gary,Payton II,nba.p.5739$nba.g.2374075 - Gary Payton II,PG,GS,MEM,MEM@GS,10:00PM EDT,10,4.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6119$nba.g.2374075,Chris,Chiozza,nba.p.6119$nba.g.2374075 - Chris Chiozza,PG,GS,MEM,MEM@GS,10:00PM EDT,10,4.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6216$nba.g.2374075,Jordan,Poole,nba.p.6216$nba.g.2374075 - Jordan Poole,SG,GS,MEM,MEM@GS,10:00PM EDT,18,27.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6329$nba.g.2374075,Juan,Toscano-Anderson,nba.p.6329$nba.g.2374075 - Juan Toscano-Anderson,PF,GS,MEM,MEM@GS,10:00PM EDT,10,10.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6356$nba.g.2374075,James,Wiseman,nba.p.6356$nba.g.2374075 - James Wiseman,C,GS,MEM,MEM@GS,10:00PM EDT,10,21.5,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6549$nba.g.2374075,Jonathan,Kuminga,nba.p.6549$nba.g.2374075 - Jonathan Kuminga,SF,GS,MEM,MEM@GS,10:00PM EDT,10,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6556$nba.g.2374075,Moses,Moody,nba.p.6556$nba.g.2374075 - Moses Moody,SG,GS,MEM,MEM@GS,10:00PM EDT,10,2.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6636$nba.g.2374075,Jeff,Dowtin,nba.p.6636$nba.g.2374075 - Jeff Dowtin,PG,GS,MEM,MEM@GS,10:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.3971$nba.g.2374140,Lou,Williams,nba.p.3971$nba.g.2374140 - Lou Williams,SG,ATL,WAS,ATL@WAS,7:00PM EDT,11,19.4,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4468$nba.g.2374140,Danilo,Gallinari,nba.p.4468$nba.g.2374140 - Danilo Gallinari,PF,ATL,WAS,ATL@WAS,7:00PM EDT,12,20.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5191$nba.g.2374140,Gorgui,Dieng,nba.p.5191$nba.g.2374140 - Gorgui Dieng,C,ATL,WAS,ATL@WAS,7:00PM EDT,11,17.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5193$nba.g.2374140,Solomon,Hill,nba.p.5193$nba.g.2374140 - Solomon Hill,PF,ATL,WAS,ATL@WAS,7:00PM EDT,10,8.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5336$nba.g.2374140,Clint,Capela,nba.p.5336$nba.g.2374140 - Clint Capela,C,ATL,WAS,ATL@WAS,7:00PM EDT,25,29.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5338$nba.g.2374140,Bogdan,Bogdanovic,nba.p.5338$nba.g.2374140 - Bogdan Bogdanovic,SG,ATL,WAS,ATL@WAS,7:00PM EDT,19,17.8,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5480$nba.g.2374140,Delon,Wright,nba.p.5480$nba.g.2374140 - Delon Wright,PG,ATL,WAS,ATL@WAS,7:00PM EDT,11,12.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5655$nba.g.2374140,Timothé,Luwawu-Cabarrot,nba.p.5655$nba.g.2374140 - Timothé Luwawu-Cabarrot,SF,ATL,WAS,ATL@WAS,7:00PM EDT,10,2.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5832$nba.g.2374140,John,Collins,nba.p.5832$nba.g.2374140 - John Collins,PF,ATL,WAS,ATL@WAS,7:00PM EDT,23,35.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6016$nba.g.2374140,Trae,Young,nba.p.6016$nba.g.2374140 - Trae Young,PG,ATL,WAS,ATL@WAS,7:00PM EDT,43,44.7,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6030$nba.g.2374140,Kevin,Huerter,nba.p.6030$nba.g.2374140 - Kevin Huerter,SF,ATL,WAS,ATL@WAS,7:00PM EDT,17,14.4,GTD," "
